t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
2019,V Ice,4536752,943107785.8498007,6.5641,2.5834,90439,19979295.38577481,0.1309,0.0547
2020,I Moderate,5754781,3104731546.5717907,8.3264,8.5047,144631,87272584.24378735,0.2093,0.2391
2020,II Strong,1465017,437312462.20009595,2.1197,1.1979,48554,24141936.315991953,0.0703,0.0661
2020,III Severe,860432,256033601.6814285,1.2449,0.7013,16269,6248120.6550369775,0.0235,0.0171
2020,IV Extreme,798924,229219395.30205962,1.1559,0.6279,20434,7458041.968723011,0.0296,0.0204
2020,V Ice,4173066,978891005.5052733,6.0379,2.6815,88039,20319673.147592206,0.1274,0.0557
2021,I Moderate,6622436,3471214073.4594536,9.5818,9.5086,163594,98096661.00435318,0.2367,0.2687
2021,II Strong,1764195,439948853.25135475,2.5526,1.2051,43336,20293355.028055727,0.0627,0.0556
2021,III Severe,1063632,280188843.1907714,1.5389,0.7675,14228,4776774.1107880315,0.0206,0.0131
2021,IV Extreme,847860,239196025.20337915,1.2267,0.6552,17005,6125386.790004532,0.0246,0.0168
2021,V Ice,4339059,941271506.2207024,6.278,2.5784,90847,20424063.255857218,0.1314,0.0559
2022,I Moderate,11031469,6951204024.655893,15.961,19.0413,155364,92193262.95753513,0.2248,0.2525
2022,II Strong,1647345,533063049.34286034,2.3835,1.4602,52023,28056123.585778058,0.0753,0.0769
2022,III Severe,757322,189229270.56893584,1.0957,0.5184,10513,3531613.01664376,0.0152,0.0097
2022,IV Extreme,691855,182385971.02831772,1.001,0.4996,13435,4196501.617042098,0.0194,0.0115
2022,V Ice,3683235,738240779.1152394,5.3291,2.0222,87090,18699426.32991178,0.126,0.0512
2023,I Moderate,4501551,2112475060.5066407,6.5131,5.7866,134051,75648709.4125651,0.194,0.2072
2023,II Strong,1180383,297200215.46682614,1.7079,0.8141,34314,14483359.978696134,0.0496,0.0397
2023,III Severe,803538,194369157.24833804,1.1626,0.5324,9996,3244158.8789407494,0.0145,0.0089
2023,IV Extreme,723732,169507677.2127587,1.0471,0.4643,11554,3604089.0995424045,0.0167,0.0099
2023,V Ice,3371137,677022178.6207578,4.8776,1.8545,75684,15960473.525368504,0.1095,0.0437
2024,I Moderate,3815893,1789455920.7236512,5.5211,4.9018,104397,59922513.1953845,0.151,0.1641
2024,II Strong,1169842,315507587.7318038,1.6926,0.8643,26642,11642705.881443439,0.0385,0.0319
2024,III Severe,758156,202152375.880208,1.0969,0.5538,9228,2961537.8764368594,0.0134,0.0081
2024,IV Extreme,801900,218472455.30793366,1.1602,0.5985,12949,4038204.905515991,0.0187,0.0111
2024,V Ice,3560250,772444975.4810961,5.1512,2.1159,81713,17789278.739870477,0.1182,0.0487
2025,I Moderate,2584684,1349399691.1095526,3.7397,3.6964,99396,60485932.28300019,0.1438,0.1657
2025,II Strong,650779,199831480.64654544,0.9416,0.5474,26823,13096581.83482849,0.0388,0.0359
2025,III Severe,334331,90969957.48366855,0.4837,0.2492,10947,3894828.642734161,0.0158,0.0107
2025,IV Extreme,274900,73756699.64511491,0.3977,0.202,16757,5208606.518503901,0.0242,0.0143
2025,V Ice,1372032,279817258.1771629,1.9851,0.7665,57050,12343401.179742888,0.0825,0.0338
